,date,max_temp,min_temp
0,2020-01-01,7,5
1,2020-01-02,9,6
2,2020-01-03,7,6
3,2020-01-04,9,7
4,2020-01-05,11,11
5,2020-01-06,12,8
6,2020-01-07,8,1
7,2020-01-08,5,1
8,2020-01-09,3,3
9,2020-01-10,6,4
10,2020-01-11,5,0
11,2020-01-12,5,1
12,2020-01-13,7,1
13,2020-01-14,6,-1
14,2020-01-15,4,2
15,2020-01-16,3,2
16,2020-01-17,4,0
17,2020-01-18,5,0
18,2020-01-19,10,-1
19,2020-01-20,11,1
20,2020-01-21,6,6
21,2020-01-22,7,6
22,2020-01-23,9,7
23,2020-01-24,8,5
24,2020-01-25,6,4
25,2020-01-26,6,3
26,2020-01-27,4,2
27,2020-01-28,5,0
28,2020-01-29,9,0
29,2020-01-30,8,-2
30,2020-02-01,8,-2
31,2020-02-02,8,-2
32,2020-02-03,8,-2
33,2020-02-04,8,-2
34,2020-02-05,8,-2
35,2020-02-06,8,-2
36,2020-02-07,8,-2
37,2020-02-08,8,-2
38,2020-02-09,8,-2
39,2020-02-10,8,-2
40,2020-02-11,8,-2
41,2020-02-12,8,-2
42,2020-02-13,8,-2
43,2020-02-14,8,-2
44,2020-02-15,8,-2
45,2020-02-16,8,-2
46,2020-02-17,8,-2
47,2020-02-18,8,-2
48,2020-02-19,8,-2
49,2020-02-20,8,-2
50,2020-02-21,8,-2
51,2020-02-22,8,-2
52,2020-02-23,8,-2
53,2020-02-24,8,-2
54,2020-02-25,8,-2
55,2020-02-26,8,-2
56,2020-02-27,8,-2
57,2020-02-28,8,-2
58,2020-03-01,8,-2
59,2020-03-02,8,-2
60,2020-03-03,8,-2
61,2020-03-04,8,-2
62,2020-03-05,8,-2
63,2020-03-06,8,-2
64,2020-03-07,8,-2
65,2020-03-08,8,-2
66,2020-03-09,8,-2
67,2020-03-10,8,-2
68,2020-03-11,8,-2
69,2020-03-12,8,-2
70,2020-03-13,8,-2
71,2020-03-14,8,-2
72,2020-03-15,8,-2
73,2020-03-16,8,-2
74,2020-03-17,8,-2
75,2020-03-18,8,-2
76,2020-03-19,8,-2
77,2020-03-20,8,-2
78,2020-03-21,8,-2
79,2020-03-22,8,-2
80,2020-03-23,8,-2
81,2020-03-24,8,-2
82,2020-03-25,8,-2
83,2020-03-26,8,-2
84,2020-03-27,8,-2
85,2020-03-28,8,-2
86,2020-03-29,8,-2
87,2020-03-30,8,-2
88,2020-04-01,15,8
89,2020-04-02,17,7
90,2020-04-03,17,8
91,2020-04-04,20,7
92,2020-04-05,19,11
93,2020-04-06,20,10
94,2020-04-07,21,7
95,2020-04-08,23,10
96,2020-04-09,24,11
97,2020-04-10,20,8
98,2020-04-11,9,7
99,2020-04-12,20,6
100,2020-04-13,21,9
101,2020-04-14,21,10
102,2020-04-15,25,15
103,2020-04-16,28,15
104,2020-04-17,19,14
105,2020-04-18,15,12
106,2020-04-19,16,11
107,2020-04-20,20,11
108,2020-04-21,14,11
109,2020-04-22,21,8
110,2020-04-23,20,8
111,2020-04-24,23,13
112,2020-04-25,27,11
113,2020-04-26,27,12
114,2020-04-27,20,7
115,2020-04-28,23,11
116,2020-04-29,28,17
117,2020-05-01,26,19
118,2020-05-02,30,22
119,2020-05-03,35,23
120,2020-05-04,31,19
121,2020-05-05,18,16
122,2020-05-06,21,18
123,2020-05-07,25,19
124,2020-05-08,27,17
125,2020-05-09,19,15
126,2020-05-10,24,14
127,2020-05-11,28,16
128,2020-05-12,30,15
129,2020-05-13,30,19
130,2020-05-14,26,20
131,2020-05-15,26,20
132,2020-05-16,29,21
133,2020-05-17,32,22
134,2020-05-18,26,14
135,2020-05-19,29,16
136,2020-05-20,30,19
137,2020-05-21,29,20
138,2020-05-22,28,19
139,2020-05-23,32,21
140,2020-05-24,31,19
141,2020-05-25,25,19
142,2020-05-26,26,20
143,2020-05-27,31,20
144,2020-05-28,32,21
145,2020-05-29,27,19
146,2020-05-30,20,17
147,2020-06-01,20,17
148,2020-06-02,20,17
149,2020-06-03,20,17
150,2020-06-04,20,17
151,2020-06-05,20,17
152,2020-06-06,20,17
153,2020-06-07,20,17
154,2020-06-08,20,17
155,2020-06-09,20,17
156,2020-06-10,20,17
157,2020-06-11,20,17
158,2020-06-12,20,17
159,2020-06-13,20,17
160,2020-06-14,20,17
161,2020-06-15,20,17
162,2020-06-16,20,17
163,2020-06-17,20,17
164,2020-06-18,20,17
165,2020-06-19,20,17
166,2020-06-20,20,17
167,2020-06-21,20,17
168,2020-06-22,20,17
169,2020-06-23,20,17
