,date,max_temp,min_temp
0,2020-01-01,7,5
1,2020-01-02,9,6
2,2020-01-03,7,6
3,2020-01-04,9,7
4,2020-01-05,11,11
5,2020-01-06,12,8
6,2020-01-07,8,1
7,2020-01-08,5,1
8,2020-01-09,3,3
9,2020-01-10,6,4
10,2020-01-11,5,0
11,2020-01-12,5,1
12,2020-01-13,7,1
13,2020-01-14,6,-1
14,2020-01-15,4,2
15,2020-01-16,3,2
16,2020-01-17,4,0
17,2020-01-18,5,0
18,2020-01-19,10,-1
19,2020-01-20,11,1
20,2020-01-21,6,6
21,2020-01-22,7,6
22,2020-01-23,9,7
23,2020-01-24,8,5
24,2020-01-25,6,4
25,2020-01-26,6,3
26,2020-01-27,4,2
27,2020-01-28,5,0
28,2020-01-29,9,0
29,2020-01-30,8,-2
30,2020-01-31,11,-1
31,2020-02-01,11,-1
32,2020-02-02,11,-1
33,2020-02-03,11,-1
34,2020-02-04,11,-1
35,2020-02-05,11,-1
36,2020-02-06,11,-1
37,2020-02-07,11,-1
38,2020-02-08,11,-1
39,2020-02-09,11,-1
40,2020-02-10,11,-1
41,2020-02-11,11,-1
42,2020-02-12,11,-1
43,2020-02-13,11,-1
44,2020-02-14,11,-1
45,2020-02-15,11,-1
46,2020-02-16,11,-1
47,2020-02-17,11,-1
48,2020-02-18,11,-1
49,2020-02-19,11,-1
50,2020-02-20,11,-1
51,2020-02-21,11,-1
52,2020-02-22,11,-1
53,2020-02-23,11,-1
54,2020-02-24,11,-1
55,2020-02-25,11,-1
56,2020-02-26,11,-1
57,2020-02-27,11,-1
58,2020-02-28,11,-1
59,2020-02-29,11,-1
60,2020-03-01,11,-1
61,2020-03-02,11,-1
62,2020-03-03,11,-1
63,2020-03-04,11,-1
64,2020-03-05,11,-1
65,2020-03-06,11,-1
66,2020-03-07,11,-1
67,2020-03-08,11,-1
68,2020-03-09,11,-1
69,2020-03-10,11,-1
70,2020-03-11,11,-1
71,2020-03-12,11,-1
72,2020-03-13,11,-1
73,2020-03-14,11,-1
74,2020-03-15,11,-1
75,2020-03-16,11,-1
76,2020-03-17,11,-1
77,2020-03-18,11,-1
78,2020-03-19,11,-1
79,2020-03-20,11,-1
80,2020-03-21,11,-1
81,2020-03-22,11,-1
82,2020-03-23,11,-1
83,2020-03-24,11,-1
84,2020-03-25,11,-1
85,2020-03-26,11,-1
86,2020-03-27,11,-1
87,2020-03-28,11,-1
88,2020-03-29,11,-1
89,2020-03-30,11,-1
90,2020-03-31,11,-1
91,2020-04-01,15,8
92,2020-04-02,17,7
93,2020-04-03,17,8
94,2020-04-04,20,7
95,2020-04-05,19,11
96,2020-04-06,20,10
97,2020-04-07,21,7
98,2020-04-08,23,10
99,2020-04-09,24,11
100,2020-04-10,20,8
101,2020-04-11,9,7
102,2020-04-12,20,6
103,2020-04-13,21,9
104,2020-04-14,21,10
105,2020-04-15,25,15
106,2020-04-16,28,15
107,2020-04-17,19,14
108,2020-04-18,15,12
109,2020-04-19,16,11
110,2020-04-20,20,11
111,2020-04-21,14,11
112,2020-04-22,21,8
113,2020-04-23,20,8
114,2020-04-24,23,13
115,2020-04-25,27,11
116,2020-04-26,27,12
117,2020-04-27,20,7
118,2020-04-28,23,11
119,2020-04-29,28,17
120,2020-04-30,33,21
121,2020-05-01,26,19
122,2020-05-02,30,22
123,2020-05-03,35,23
124,2020-05-04,31,19
125,2020-05-05,18,16
126,2020-05-06,21,18
127,2020-05-07,25,19
128,2020-05-08,27,17
129,2020-05-09,19,15
130,2020-05-10,24,14
131,2020-05-11,28,16
132,2020-05-12,30,15
133,2020-05-13,30,19
134,2020-05-14,26,20
135,2020-05-15,26,20
136,2020-05-16,29,21
137,2020-05-17,32,22
138,2020-05-18,26,14
139,2020-05-19,29,16
140,2020-05-20,30,19
141,2020-05-21,29,20
142,2020-05-22,28,19
143,2020-05-23,32,21
144,2020-05-24,31,19
145,2020-05-25,25,19
146,2020-05-26,26,20
147,2020-05-27,31,20
148,2020-05-28,32,21
149,2020-05-29,27,19
150,2020-05-30,20,17
151,2020-05-31,29,20
152,2020-06-01,29,20
153,2020-06-02,29,20
154,2020-06-03,29,20
155,2020-06-04,29,20
156,2020-06-05,29,20
157,2020-06-06,29,20
158,2020-06-07,29,20
159,2020-06-08,29,20
160,2020-06-09,29,20
161,2020-06-10,29,20
162,2020-06-11,29,20
163,2020-06-12,29,20
164,2020-06-13,29,20
165,2020-06-14,29,20
166,2020-06-15,29,20
167,2020-06-16,29,20
168,2020-06-17,29,20
169,2020-06-18,29,20
